"ID","SoundExertionID","SoundExertionCriticalID","SoundInjuryID","SoundInjuryCriticalID","SoundInjuryCrushingBlowID","SoundDeathID","SoundStunID","SoundStandID","SoundFootstepID","SoundAggroID","SoundWingFlapID","SoundWingGlideID","SoundAlertID","SoundFidget_1","SoundFidget_2","SoundFidget_3","SoundFidget_4","SoundFidget_5","CustomAttack_1","CustomAttack_2","CustomAttack_3","CustomAttack_4","NPCSoundID","LoopSoundID","CreatureImpactType","SoundJumpStartID","SoundJumpEndID","SoundPetAttackID","SoundPetOrderID","SoundPetDismissID","FidgetDelaySecondsMin","FidgetDelaySecondsMax","BirthSoundID","SpellCastDirectedSoundID","SubmergeSoundID","SubmergedSoundID","CreatureSoundDataIDPet"
"65008","15358","0","0","0","0","15360","0","0","187","0","0","0","0","15917","15917","0","0","0","15359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65010","766","0","767","768","0","769","0","0","8","770","0","0","770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9097","9098","9096","0","0","0","0","0","0","0"
"65011","766","0","767","768","0","769","0","0","8","770","0","0","770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9097","9098","9096","0","0","0","0","0","0","0"
"65012","766","0","767","768","0","769","0","0","8","770","0","0","770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9097","9098","9096","0","0","0","0","0","0","0"
"65013","766","0","767","768","0","769","0","0","8","770","0","0","770","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9097","9098","9096","0","0","0","0","0","0","0"
"65016","1283","0","1284","1285","0","1286","0","0","0","1288","0","0","1287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65019","466","0","463","465","0","464","0","0","6","466","0","0","466","0","0","13576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65024","736","0","737","0","0","738","0","0","0","739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65025","736","0","737","0","0","738","0","0","0","739","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
